Number,Replicate,Start Date,1,2,3,4,5,6,7.00000,Slope,R^2,Substrate,Climate,Region,GPS,Tighter,
13,c,1/31/2017,1.5,4.7,5.1,5.3,5.4,6.1,6.5,0.6464285714,0.7295786567,Fruit,Subtropical,Florida,,,
14,a,10/21/16,5.2,10.4,16.6,21.8,27,27,27,3.892857143,0.9039105295,Dung,Desert,Southern California,"34.1922309,-116.71891119999998",IE,
14,b,10/21/16,5.3,10.6,15.2,20.5,25.8,26.4,27,3.832142857,0.9361189889,Dung,Desert,Southern California,"34.1922309,-116.71891119999998",IE,
14,c,10/21/16,1.6,3.2,11.1,12.7,14.3,16.8,19.2,2.971428571,0.9387462842,Dung,Desert,Southern California,"34.1922309,-116.71891119999998",IE,
15,a,4/14/2017,0.7,3.3,4.4,5.4,6.1,6.4,7.5,1.010714286,0.919295225,Unknown,Unknown,Unknown,,,
15,b,4/14/2017,0.7,3.3,4.1,5.2,6.1,7.5,7.8,1.132142857,0.956600792,Unknown,Unknown,Unknown,,,
15,c,4/14/2017,0.7,3.6,4.2,5.3,5.7,7.2,7.7,1.060714286,0.9334680833,Unknown,Unknown,Unknown,,,
16,a,1/31/2017,3.5,6.2,7.8,10,12.2,12.3,12.4,1.546428571,0.9180197031,Unknown,Subtropical,Florida,,,
16,b,1/31/2017,1,3.2,6,9,10.7,12.7,14.3,2.271428571,0.9895103527,Unknown,Subtropical,Florida,,,
16,c,1/31/2017,3.6,7.9,8.6,9.2,9.9,10.1,10.5,0.9428571429,0.7457627119,Unknown,Subtropical,Florida,,,
17,a,1/31/2017,1.2,4.1,5.1,5.9,7.1,8.7,10.9,1.439285714,0.9693513346,Soil,Subtropical,Florida,,,
17,b,1/31/2017,1,4.1,5.4,6.3,7,9,9.3,1.296428571,0.9421762384,Soil,Subtropical,Florida,,,
17,c,1/31/2017,1,4.1,5.4,6.3,7,8.7,9.3,1.275,0.9436752162,Soil,Subtropical,Florida,,,
18,a,10/21/16,2.2,4.3,9.1,11.3,13.4,14.4,15.4,2.289285714,0.9412132569,Fruit,Subtropical,Florida,"29.6516344,-82.32482619999996",Gainesville,
18,b,10/21/16,3,6,12.6,19.1,25.6,26.3,27,4.485714286,0.9371842459,Fruit,Subtropical,Florida,"29.6516344,-82.32482619999996",Gainesville,
18,c,10/21/16,4.2,8.3,10.6,14.8,18.9,23,27,3.789285714,0.9959523877,Fruit,Subtropical,Florida,,Gainesville,
19,a,4/14/2017,3.1,6.1,12.8,19.5,26.6,27.5,27.1,4.592857143,0.9252274751,Strawberry,Desert,Southern California,,,
19,b,4/14/2017,3,5.9,13.2,19.4,24.5,26,27.2,4.605486826,0.9471919082,Strawberry,Desert,Southern California,,,
19,c,4/14/2017,4.2,8.5,11.1,15.2,19.4,23.8,27.1,3.842857143,0.9970650646,Strawberry,Desert,Southern California,,,
20,a,4/14/2017,1.9,3.8,5.4,7.2,8.3,11,12.5,1.753571429,0.9940336786,Fruit,Desert,Southern California,,,
20,b,4/14/2017,2,4,5.3,7,8.5,10.1,12,1.621428571,0.9981597706,Fruit,Desert,Southern California,,,
20,c,4/14/2017,2,3.9,5.3,7.1,8.8,11,12.2,1.725,0.9972342863,Fruit,Desert,Southern California,,,
21,a,10/21/16,1.5,2.9,8,9.5,10.9,11.9,12.8,1.957142857,0.9178668362,Plant,Tropical,Southeast Asia,"33.9557962,-117.3322632",Southeast Asia,
21,b,10/21/16,1.6,3.1,7,8.6,10.1,11.4,12.6,1.882142857,0.9621185877,Plant,Tropical,Southeast Asia,"15.870032,100.99254100000007",Southeast Asia,
21,c,10/21/16,1.3,2.5,7.7,8.9,10.2,11.6,12.9,1.982142857,0.9343831145,Plant,Tropical,Southeast Asia,"15.870032,100.99254100000007",Southeast Asia,
22,a,10/21/16,5.4,10.7,11.4,16.8,22.1,24.6,27,3.689285714,0.97900229,Fruit,Tropical,Southeast Asia,"-7.614529200000001,110.71224649999999",Southeast Asia,
22,b,10/21/16,5.6,11.2,13,18.6,24.2,25.6,27,3.721428571,0.9634860575,Fruit,Tropical,Southeast Asia,"-7.614529200000001,110.71224649999999",Southeast Asia,
22,c,10/21/16,1.9,3.8,8.7,10.6,12.5,14.4,16.3,2.435714286,0.9717941432,Fruit,Tropical,Southeast Asia,"-7.614529200000001,110.71224649999999",Southeast Asia,
23,a,10/21/16,2.6,5.2,9.5,12.1,14.7,17,19.2,2.807142857,0.9892713484,Fruit,Tropical,Southeast Asia,"-30.559482,22.937505999999985",South Africa,
23,b,10/21/16,5.7,11.3,12.2,17.9,23.5,25.3,27,3.685714286,0.9678587267,Fruit,Tropical,Southeast Asia,"-30.559482,22.937505999999985",South Africa,
23,c,10/21/16,2.2,4.3,11.1,12,12.8,16.3,19.7,2.792857143,0.9492412577,Fruit,Tropical,Southeast Asia,"-30.559482,22.937505999999985",South Africa,
24,a,10/21/16,2.6,5.3,16.5,21.8,27,27,27,4.539285714,0.8769009714,Soil,Temperate,Europe,"51.919438,19.14513599999998",Europe,
24,b,10/21/16,4,7.9,19.1,23.1,27,27,27,4.110714286,0.8503652306,Soil,Temperate,Europe,"51.919438,19.14513599999998",Europe,
24,c,10/21/16,4.8,9.6,17.4,22.2,27,27,27,3.964285714,0.8903485952,Soil,Temperate,Europe,"51.919438,19.14513599999998",Europe,
25,a,10/21/16,0.8,1.6,8.6,9.4,10.2,11.5,12.8,2.05,0.87113184,Unknown,Antartic,Antartica,"-75.250973,-0.07138899999995374",Antartica,
25,b,10/21/16,1.9,3.7,6.1,8,9.8,10.5,11.2,1.614285714,0.9632619191,Unknown,Antartic,Antartica,"-75.250973,-0.07138899999995374",Antartica,
25,c,10/21/16,2.5,5,7.1,9.6,12.1,12.9,13.7,1.942857143,0.9685037309,Unknown,Antartic,Antartica,"-75.250973,-0.07138899999995374",Antartica,
26,a,10/21/16,1,2,8.5,9.5,10.5,12.4,14.2,2.228571429,0.9214342509,Soil,Tropical,Southeast Asia,"13.9576861,124.32826030000001",Southeast Asia,
26,b,10/21/16,1.7,3.3,9.6,11.3,12.9,15.1,17.2,2.621428571,0.953874591,Soil,Tropical,Southeast Asia,"13.9576861,124.32826030000001",Southeast Asia,
26,c,10/21/16,1.1,2.2,9,10.1,11.2,13.7,16.1,2.507142857,0.9402933814,Soil,Tropical,Southeast Asia,"13.9576861,124.32826030000001",Southeast Asia,
27,a,10/21/16,3.1,6.1,15.9,19,22,24.5,27,4.092857143,0.9414721569,Soil,Desert,Middle East,"31.41871419999999,73.07910730000003",Middle East,
27,b,10/21/16,1.5,2.9,12.1,13.6,15,20.6,26.1,4.003571429,0.9575253889,Soil,Desert,Middle East,"31.41871419999999,73.07910730000003",Middle East,
27,c,10/21/16,1.2,2.3,10.6,11.8,12.9,15.8,18.7,2.921428571,0.9316161729,Soil,Desert,Middle East,"31.41871419999999,73.07910730000003",Middle East,
28,a,10/21/16,2.4,4.8,9.7,12.1,14.5,15.9,17.2,2.55,0.9583784515,Plant,Temperate,Quebec,"52.9399159,-73.5491361",Quebec,
28,b,10/21/16,3.6,7.2,7,10.6,14.2,18.2,22.2,3.035714286,0.9637651001,Plant,Temperate,Quebec,"52.9399159,-73.5491361",Quebec,
28,c,10/21/16,1.7,3.4,8.9,10.6,12.3,13.7,15,2.282142857,0.9394118567,Plant,Temperate,Quebec,"52.9399159,-73.5491361",Quebec,
29,a,10/21/16,3.9,7.7,10,13.9,17.7,20,22.3,3.125,0.9928843022,Strawberry,Subtropical,Florida,"27.7611194,-82.2276653",Balm,
29,b,10/21/16,4.6,9.2,11.4,16,20.6,23.8,27,3.771428571,0.9948896566,Strawberry,Subtropical,Florida,"27.7611194,-82.2276653",Balm,
29,c,10/21/16,4.5,8.9,10.7,15.2,19.6,22.4,25.1,3.489285714,0.992035893,Strawberry,Subtropical,Florida,"27.7611194,-82.2276653",Balm,
30,a,4/14/2017,2.2,4.3,5.9,7.7,15.5,24,27,4.407142857,0.9197163703,Strawberry,Subtropical,Florida,,,
30,b,4/14/2017,2.1,4,5.6,7.6,16.1,23.9,26.6,4.421428571,0.9224437618,Strawberry,Subtropical,Florida,,,
30,c,4/14/2017,2,4,5.9,7.9,16.6,24.1,27.5,4.55,0.9296223493,Strawberry,Subtropical,Florida,,,
31,a,4/14/2017,1.9,3.6,4.6,5.5,8.3,12.4,13.2,1.971428571,0.9476512739,Strawberry,Subtropical,Florida,,,
31,b,4/14/2017,1.8,3.5,4.4,5.4,9,12.3,12.6,1.95,0.9501160093,Strawberry,Subtropical,Florida,,,
31,c,4/14/2017,1.8,3.5,4.4,5.2,8.4,11.6,13.7,1.996428571,0.9515951227,Strawberry,Subtropical,Florida,,,
32,a,4/14/2017,2.4,4.8,6,7.7,8.4,16.1,17.4,2.5,0.9057301294,Strawberry,Subtropical,Florida,,,
32,b,4/14/2017,2.5,4.9,5.9,8.1,8.5,15,18.6,2.539285714,0.9125059568,Strawberry,Subtropical,Florida,,,
32,c,4/14/2017,2.6,4.6,5.7,8,8.3,16.4,19,2.692857143,0.8940842696,Strawberry,Subtropical,Florida,,,
33,a,4/14/2017,2.1,4,5.4,6.6,13.2,20,20.9,3.435714286,0.9194053457,Strawberry,Subtropical,Florida,,,
33,b,4/14/2017,2,3.8,5,6.4,12.5,20,22.9,3.664285714,0.9123050897,Strawberry,Subtropical,Florida,,,
33,c,,1.9,4,5.2,6.2,12.7,18.7,22.3,3.503571429,0.9209125672,Strawberry,Subtropical,Florida,,,
34,a,10/21/16,5.5,10.9,14,19.5,24.9,26,27,3.771428571,0.9549359457,Strawberry,Subtropical,Florida,"27.7611194,-82.2276658",Balm,
34,b,10/21/16,5.2,10.3,11.9,17.1,22.2,24.6,27,3.725,0.9838875101,Strawberry,Subtropical,Florida,"27.7611194,-82.2276658",Balm,2.285714286
34,c,10/21/16,5.1,10.1,11.4,16.5,21.5,24.3,27,3.721428571,0.9867065555,Strawberry,Subtropical,Florida,"27.7611194,-82.2276658",Balm,
34,a,4/14/2017,1.4,2.6,4.5,5.7,7.2,8,8.6,1.253571429,0.9783447684,Strawberry,Subtropical,Florida,,,
34,b,4/14/2017,1.4,2.8,4.5,6,7,7.8,9,1.260714286,0.9858930945,Strawberry,Subtropical,Florida,,,
34,c,4/14/2017,1.4,2.7,4.3,5.8,6.7,8,9,1.278571429,0.9935809973,Strawberry,Subtropical,Florida,,,
35,a,4/14/2017,3.1,6.1,8.5,11.7,17.3,23.6,26.3,4.05,0.9754683318,Strawberry,Subtropical,Florida,,,
35,b,4/14/2017,3.2,6.1,9,11.1,18.7,24.6,27.6,4.282142857,0.9667014094,Strawberry,Subtropical,Florida,,,
35,c,4/14/2017,3.1,6.3,8.4,11.3,18.4,24,28.2,4.310714286,0.9682993651,Strawberry,Subtropical,Florida,,,
36,a,1/31/2017,1.6,3.2,5.2,7.2,8.8,10.4,12.3,1.789285714,0.9987307019,Strawberry,Subtropical,Florida,,,
36,b,1/31/2017,2,4,5.5,7,8.3,9.6,10.4,1.4,0.9876086174,Strawberry,Subtropical,Florida,,,
36,c,1/31/2017,1.3,2.5,4.8,7.1,9.5,11.9,15.1,2.317857143,0.9896826068,Strawberry,Subtropical,Florida,,,
39,a,4/14/2017,3.4,5.6,6.3,7.1,8.3,14.1,19.1,2.360714286,0.856372011,Strawberry,Subtropical,Florida,,,
39,b,4/14/2017,3.6,5.7,6.2,7.7,8.3,14,18.2,2.232142857,0.873897072,Strawberry,Subtropical,Florida,,,
39,c,4/14/2017,3.4,5.5,6.1,7.1,8.6,14.3,19.1,2.4,0.868417409,Strawberry,Subtropical,Florida,,,
40,a,1/31/2017,2.5,4.9,11.6,14.1,16.5,21.8,27,4.007142857,0.9840320422,Unknown,Unknown,Unknown,,,
40,b,1/31/2017,1.6,3.1,14.4,16,17.5,22.3,27,4.203571429,0.9429446375,Unknown,Unknown,Unknown,,,
40,c,1/31/2017,1.5,3,11.1,12.6,14.1,20.6,27,4.096428571,0.957302254,Unknown,Unknown,Unknown,,,
41,a,1/31/2017,6,11.9,12,18,23.9,25.5,27,3.646428571,0.9574219324,Unknown,Unknown,Unknown,,,
41,b,1/31/2017,5.1,10.2,7.8,12.9,18,22.5,27,3.589285714,0.9339630493,Unknown,Unknown,Unknown,,,
41,c,1/31/2017,4.1,8.2,10.1,14.2,18.3,22.7,27,3.782142857,0.9917589317,Unknown,Unknown,Unknown,,,
42,a,10/21/16,0.7,1.3,1.7,2.4,3,3.6,4.2,0.5857142857,0.9976261128,Strawberry,Desert,Southern California,"34.0555693,-117.18253809999999",IE,
42,b,10/21/16,0.6,1.2,2.4,3,3.6,4.3,4.9,0.725,0.9892692529,Strawberry,Desert,Southern California,"34.0555693,-117.18253809999999",IE,
42,a,10/21/16,0.7,1.3,1.6,2.3,2.9,3.5,4,0.5571428571,0.9950932287,Strawberry,Desert,Southern California,"34.0555693,-117.18253809999999",IE,
42,b,4/14/2017,0.7,1.4,1.9,2.4,3,3.3,3.8,0.5071428571,0.9923228346,Strawberry,Desert,Southern California,,,
42,c,4/14/2017,0.7,1.4,1.9,2.5,2.9,3.3,3.5,0.4714285714,0.9771197847,Strawberry,Desert,Southern California,,,
43,a,10/21/16,0.5,1,1.2,1.3,1.7,1.8,2.1,0.2464285714,0.9692589577,Strawberry,Temperate,Northern California,"37.35410789999999,-121.95523559999998",Monterrey,
43,b,10/21/16,1.1,2.2,9.2,10.3,11.4,13.7,16,2.496428571,0.9325870362,Strawberry,Temperate,Northern California,"37.35410789999999,-121.95523559999998",Monterrey,
43,c,10/21/16,4.5,9,8.5,13,17.5,22.3,27,3.682142857,0.9621158636,Strawberry,Temperate,Northern California,"37.35410789999999,-121.95523559999998",Monterrey,
44,a,10/21/16,4.5,9,9.1,13.6,18.1,22.6,27,3.703571429,0.9742355555,Strawberry,Temperate,Northern California,"36.838309,-121.7962",Monterrey,
44,b,10/21/16,5.1,10.1,10.1,15.2,20.2,23.6,27,3.671428571,0.9793016532,Strawberry,Temperate,Northern California,"36.838309,-121.7962",Monterrey,
44,c,10/21/16,4.4,8.8,7.5,11.9,16.3,20,23.7,3.182142857,0.9544041413,Strawberry,Temperate,Northern California,"36.838309,-121.7962",Monterrey,
45,a,10/21/16,6,11.9,12,18,23.9,25.5,27,3.646428571,0.9574219324,Strawberry,Temperate,Northern California,"36.878370,-121.7931",Monterrey,
45,b,10/21/16,5.1,10.2,7.8,12.9,18,22.5,27,3.589285714,0.9339630493,Strawberry,Temperate,Northern California,"36.878370,-121.7931",Monterrey,
45,c,10/21/16,4.1,8.2,10.1,14.2,18.3,22.7,27,3.782142857,0.9917589317,Strawberry,Temperate,Northern California,"36.878370,-121.7931",Monterrey,
47,a,10/21/16,1.1,2.1,5.4,6.5,7.5,8.3,9,1.364285714,0.9349787278,Strawberry,Temperate,Northern California,"36.727454,-121.6851",Monterrey,
47,a,1/31/2017,1.1,2.3,2.5,2.8,3.1,3.4,4.1,0.4214285714,0.9282666667,Strawberry,Temperate,Northern California,,,
47,b,10/21/16,0.7,1.3,3.7,4.4,5,5.9,6.8,1.028571429,0.9594669628,Strawberry,Temperate,Northern California,"36.727454,-121.6851",Monterrey,
47,b,1/31/2017,1,2.1,2.4,2.7,3.1,3.3,3.9,0.4214285714,0.942338928,Strawberry,Temperate,Northern California,,,
47,c,10/21/16,1,2,4.1,5.1,6.1,6.7,7.2,1.071428571,0.9554951588,Strawberry,Temperate,Northern California,"36.727454,-121.6851",Monterrey,
47,c,1/31/2017,1.1,2.2,2.6,3,3.4,3.6,4,0.4392857143,0.9385235732,Strawberry,Temperate,Northern California,,,
49,a,10/21/16,5.7,11.3,14.2,19.9,25.5,26.3,27,3.757142857,0.9451318244,Strawberry,Temperate,Northern California,"36.844183, -121.745018",Monterrey,
49,a,1/31/2017,3.2,6.5,7.1,7.8,8.5,8.7,9.2,0.85,0.817420919,Strawberry,Temperate,Northern California,,,
49,b,10/21/16,4.9,9.8,17.2,22.1,27,27,27,3.946428571,0.8941045956,Strawberry,Temperate,Northern California,"36.844183, -121.745018",Monterrey,
49,b,1/31/2017,2.8,5.6,6.8,8.1,9.4,10.2,12,1.407142857,0.9747576229,Strawberry,Temperate,Northern California,,,
49,c,10/21/16,5.8,11.5,12,17.8,23.5,25.3,27,3.667857143,0.9651337077,Strawberry,Temperate,Northern California,"36.844183, -121.745018",Monterrey,
49,c,1/31/2017,2.9,5.9,7.1,8.3,9.5,9.6,10,1.110714286,0.8837164681,Strawberry,Temperate,Northern California,,,
50,a,10/21/16,2.5,4.9,11,13.5,15.9,18.8,21.7,3.225,0.9811627023,Strawberry,Temperate,Northern California,"36.681090,-121.561483",Monterrey,
50,b,10/21/16,3.6,7.2,10.2,13.8,17.4,20.7,24,3.407142857,0.9996441281,Strawberry,Temperate,Northern California,"36.681090,-121.561483",Monterrey,
50,c,10/21/16,1.8,3.5,10,11.8,13.5,16.7,19.8,2.996428571,0.9717511706,Strawberry,Temperate,Northern California,"36.681090,-121.561483",Monterrey,
51,a,1/31/2017,1.8,3.7,4.3,5,5.7,6.2,7.2,0.8071428571,0.9592097356,Strawberry,Temperate,Northern California,,,
51,b,1/31/2017,2.1,4.3,5.2,6.1,7,7.5,8.7,1,0.9616328133,Strawberry,Temperate,Northern California,,,
51,c,1/31/2017,4.5,9.1,9.8,10.5,11.2,12.3,14.5,1.35,0.8826538176,Strawberry,Temperate,Northern California,,,
52,a,4/14/2017,2.8,5.5,5.9,6.9,7.6,9.1,11.9,1.292857143,0.939410449,Strawberry,Temperate,Northern California,,,
52,b,4/14/2017,2.7,5.2,5.9,6.9,7.9,9,11.2,1.253571429,0.9692928625,Strawberry,Temperate,Northern California,,,
52,c,4/14/2017,2.6,5.6,6.5,6.9,7.6,8.9,11.9,1.271428571,0.9159343201,Strawberry,Temperate,Northern California,,,
53,a,4/14/2017,4.9,10.6,12.8,15.4,18.5,19.3,23.3,2.796428571,0.9688756353,Strawberry,Temperate,Northern California,,,
53,b,4/14/2017,5.2,10,12.6,15.1,18,19.3,22.3,2.689285714,0.9797097893,Strawberry,Temperate,Northern California,,,
53,c,4/14/2017,5,9.9,13,16.2,18.1,20.1,23.5,2.892857143,0.9794876388,Strawberry,Temperate,Northern California,,,
54,a,4/14/2017,3.7,7.8,10.3,14.6,17.9,18.8,21.9,3.007142857,0.9815748084,Strawberry,Temperate,Northern California,,,
54,b,4/14/2017,3.7,7.3,10.4,14.5,17.9,18.8,22,3.05,0.9836904916,Strawberry,Temperate,Northern California,,,
54,c,4/14/2017,3.5,7.5,11,13.5,16.9,18.5,21.5,2.925,0.9891712776,Strawberry,Temperate,Northern California,,,
55,a,4/14/2017,4.4,8.9,12.5,16.3,18.9,20.4,22.7,3.010714286,0.9722238943,Strawberry,Temperate,Northern California,,,
55,b,4/14/2017,4.5,8.6,12.4,15.6,19.6,19.8,22.6,2.996428571,0.9677645978,Strawberry,Temperate,Northern California,,,
55,c,4/14/2017,4.6,8.9,12.3,15.1,19.5,19.6,22.3,2.917857143,0.9677680798,Strawberry,Temperate,Northern California,,,
56,a,4/14/2017,3.9,8.2,11.7,15.8,18.7,21.6,26.1,3.585714286,0.9964255777,Strawberry,Temperate,Northern California,,,
56,b,4/14/2017,4.1,7.8,11.8,15.8,19.1,20.4,24.9,3.389285714,0.9886458443,Strawberry,Temperate,Northern California,,,
56,c,4/14/2017,4,7.9,12.4,16.2,20.1,22.5,25.3,3.6,0.9906402097,Strawberry,Temperate,Northern California,,,
57,a,4/14/2017,3.1,6.5,8,9.2,10.9,11.5,14.7,1.703571429,0.9635506657,Strawberry,Temperate,Northern California,,,
57,b,4/14/2017,3.2,6.7,8,9.7,11.5,12.5,14.5,1.75,0.9766832634,Strawberry,Temperate,Northern California,,,
57,c,4/14/2017,3.2,6.2,8.4,9.5,11.2,12.2,14.6,1.75,0.9769375997,Strawberry,Temperate,Northern California,,,
58,a,1/31/2017,4.2,8.5,9.8,11.2,12.6,13.1,14.3,1.510714286,0.9093399333,Strawberry,Temperate,Northern California,,,
58,b,1/31/2017,3.5,7.1,8.7,10.4,12.1,12.6,13.8,1.617857143,0.94375,Strawberry,Temperate,Northern California,,,
58,c,1/31/2017,3.9,7.9,9.1,10.3,11.6,12.2,13.4,1.414285714,0.9164095372,Strawberry,Temperate,Northern California,,,
59,a,1/31/2017,4.5,9.1,13,17,21,22.7,26.2,3.582142857,0.988500676,Strawberry,Temperate,Northern California,,,
59,b,1/31/2017,5.5,11,14.8,18.7,22.6,24.7,29,3.775,0.9900757501,Strawberry,Temperate,Northern California,,,
59,c,1/31/2017,5.1,10.2,14.5,18.8,23.1,25,29,3.925,0.9890409635,Strawberry,Temperate,Northern California,,,
60,a,4/14/2017,4.7,8.6,11.7,14.7,17.8,19.6,23.6,3.028571429,0.9940943576,Strawberry,Temperate,Northern California,,,
60,b,4/14/2017,4.4,8.6,12.5,14.8,18.6,19.3,24.4,3.125,0.9814799147,Strawberry,Temperate,Northern California,,,
60,c,4/14/2017,4.6,9,11.7,15,19.3,21.1,22.6,3.064285714,0.9806733167,Strawberry,Temperate,Northern California,,,
61,a,4/14/2017,2.3,4.8,5.3,5.6,6.1,7,7,0.6892857143,0.8518340651,Strawberry,Temperate,Northern California,,,
61,b,4/14/2017,2.3,4.9,5.2,5.9,6.6,6.9,7.6,0.7607142857,0.8847308892,Strawberry,Temperate,Northern California,,,
61,c,4/14/2017,2.3,4.7,5.1,5.9,6.2,6.5,7,0.6714285714,0.8501058303,Strawberry,Temperate,Northern California,,,
62,a,4/14/2017,2.6,5,8.9,12.6,17.8,21.1,29.6,4.360714286,0.9731795489,Strawberry,Temperate,Northern California,,,
62,b,4/14/2017,2.5,5.1,8.9,13,17.5,20.3,29.9,4.328571429,0.9659275625,Strawberry,Temperate,Northern California,,,
62,c,4/14/2017,2.5,5,9.3,13.1,16.6,21,28.5,4.189285714,0.9796938014,Strawberry,Temperate,Northern California,,,
63,a,10/21/16,2.9,5.9,9.2,12.7,16.9,20.4,29.5,4.160714286,0.9634072415,Strawberry,Temperate,Northern California,"36.688662,-121.581620",Monterrey,
63,b,10/21/16,5.6,11.2,12,17.6,23.2,25.1,27,3.685714286,0.9703985013,Strawberry,Temperate,Northern California,"36.688662,-121.581620",Monterrey,
63,c,10/21/16,5,10,11.5,16.5,21.5,24.3,27,3.735714286,0.9878116604,Strawberry,Temperate,Northern California,"36.688662,-121.581620",Monterrey,
64,a,4/14/2017,1.8,3.7,5.9,8.7,10.2,13.3,18.2,2.596428571,0.9730201921,Strawberry,Temperate,Northern California,,,
