Number,Replicate,start date,1,2,3,4,5,6,7,Slope,R^2,Substrate,Climate,Region,GPS,Tighter,
6,c,05/02/2017,1.6,4.5,5.9,9,12.1,16.4,15.1,2.517857143,0.7090561224,Fruit,Temperate,Unknown,,,
7,a,05/02/2017,1.9,4.9,6,7.4,6,11.6,11.8,1.539285714,0.2042091837,Plant,Temperate,Unknown,,,
7,b,05/02/2017,1.9,5,5.8,7.6,6.2,11.9,11.2,1.503571429,0.1646683673,Plant,Temperate,Unknown,,,
7,c,05/02/2017,1.9,4.9,5.6,7.8,6.5,11.4,11.1,1.482142857,0.1552295918,Plant,Temperate,Unknown,,,
8,a,1/31/17,2.9,5.7,9.2,12.6,16.4,20.3,19.8,3.110714286,0.7547193878,Unknown,Temperate,Unknown,,,
8,b,1/31/17,2.7,5.3,9.3,13.3,18,23.2,21.4,3.592857143,1.03494898,Unknown,Temperate,Unknown,,,
8,c,1/31/17,3.6,7.1,11,14.8,18.8,22.9,21.8,3.357142857,0.6596938776,Unknown,Temperate,Unknown,,,
9,a,05/02/2017,1.2,4.6,8,10,11.8,14.7,21.6,3.042857143,0.9724489796,Animal,Desert,Arizona,,,
9,b,05/02/2017,1.2,4.6,7.9,9.8,12.3,14.5,22.3,3.125,1.038392857,Animal,Desert,Arizona,,,
9,c,05/02/2017,1.1,4.7,7.7,10.1,12.6,13.9,22.5,3.125,1.024107143,Animal,Desert,Arizona,,,
10,a,05/02/2017,2.2,3.7,4.1,6.5,6.3,7.6,8.6,1.042857143,0.07602040816,Unknown,Subtropical,Florida,,,
10,b,05/02/2017,2.2,3.5,3.9,6.3,6.4,7.3,9.1,1.1,0.15,Unknown,Subtropical,Florida,,,
10,c,05/02/2017,2.3,3.4,4.1,6.4,6.5,7,8.7,1.028571429,0.09591836735,Unknown,Subtropical,Florida,,,
11,a,1/31/17,3.4,6.7,12,17.2,23.4,30.4,25.8,4.5,1.221428571,Fruit,Subtropical,Florida,,,
11,b,1/31/17,3.3,6.5,10.3,14.1,18.2,22.5,21.4,3.364285714,0.7568877551,Fruit,Subtropical,Florida,,,
11,c,1/31/17,2.7,5.4,10.3,15.2,21.2,28.1,24.3,4.325,1.345535714,Fruit,Subtropical,Florida,,,
12,a,05/02/2017,2.8,4.7,6.5,8,7.3,15.5,9.6,1.528571429,0.1494897959,Unknown,Subtropical,Unknown,,,
12,b,05/02/2017,2.8,4.6,6.3,7.6,7.6,16.2,10,1.646428571,0.2549744898,Unknown,Subtropical,Unknown,,,
12,c,05/02/2017,2.7,4.7,6.4,7.4,7.5,15.5,10.1,1.603571429,0.2218112245,Unknown,Subtropical,Unknown,,,
13,a,1/31/17,0.7,1.4,4,6.5,10,14.2,10.5,2.178571429,0.8227040816,Fruit,Subtropical,Florida,,,
13,b,1/31/17,1.7,3.4,6.9,10.3,14.6,19.7,16.4,3.014285714,0.9729591837,Fruit,Subtropical,Florida,,,
13,c,1/31/17,1.2,2.3,6.4,10.5,16.1,22.8,13.9,3.171428571,1.068367347,Fruit,Subtropical,Florida,,,
14,a,10/14/16,1.8,3.6,10.9,17.7,20.7,22,23.3,3.967857143,1.07869898,Dung,Desert,Southern California,"34.1922309,-116.71891119999998",IE,
14,b,10/28/16,2.3,4.7,11.6,15.5,19.3,21,22.7,3.625,0.8741071429,Dung,Desert,Southern California,"34.1922309,-116.71891119999998",IE,
14,c,11/20/16,2.2,4.5,11.2,15.2,19.1,20.6,22.1,3.564285714,0.8711734694,Dung,Desert,Southern California,"34.1922309,-116.71891119999998",IE,
15,a,05/02/2017,0.7,2.7,3.3,4.5,6.1,5.2,8.8,1.146428571,0.2514030612,Unknown,Unknown,Unknown,,,
15,b,05/02/2017,0.7,2.6,3.1,4.4,6,5.1,9,1.171428571,0.2933673469,Unknown,Unknown,Unknown,,,
15,c,05/02/2017,0.7,2.6,3.1,4.5,6.2,5.3,8.7,1.160714286,0.2743622449,Unknown,Unknown,Unknown,,,
16,a,1/31/17,2.7,5.3,8.3,11.2,14.3,17.5,16.9,2.607142857,0.5507653061,Unknown,Subtropical,Florida,,,
16,b,1/31/17,2.5,5,7.9,10.7,13.7,16.9,18.8,2.803571429,0.7646683673,Unknown,Subtropical,Florida,,,
16,c,1/31/17,2.9,5.7,9.5,13.3,17.6,22.2,21.1,3.417857143,0.9019132653,Unknown,Subtropical,Florida,,,
16,a,05/02/2017,3.2,8.7,8.7,7.4,8.6,7.7,11.4,0.8035714286,-0.6424744898,Unknown,Subtropical,Florida,,,
16,b,05/02/2017,3.1,8.3,8.5,7.2,8.5,8,11.3,0.8571428571,-0.568877551,Unknown,Subtropical,Florida,,,
16,c,05/02/2017,3,8.2,8.9,6.9,8.3,8.2,10.8,0.8142857143,-0.6091836735,Unknown,Subtropical,Florida,,,
17,a,1/31/17,2.5,4.9,6.4,7.8,8.8,9.3,10.9,1.3,-0.01071428571,Soil,Subtropical,Florida,,,
17,b,1/31/17,1.8,3.5,5.8,8.1,10.7,13.5,12.3,2.014285714,0.4979591837,Soil,Subtropical,Florida,,,
17,c,1/31/17,1.6,3.1,5.9,8.6,12,15.8,14.2,2.475,0.7830357143,Soil,Subtropical,Florida,,,
18,a,10/14/16,1.9,3.8,5.2,6.6,8.4,9.9,12.4,1.675,0.4044642857,Fruit,Subtropical,Florida,"29.6516344,-82.32482619999996",Gainesville,
18,b,10/14/16,2.1,4.2,5.7,7.2,8.1,10.6,13.4,1.753571429,0.4093112245,Fruit,Subtropical,Florida,"29.6516344,-82.32482619999996",Gainesville,
18,c,11/20/16,2.2,4.4,5,6.1,8.9,10.1,13.1,1.714285714,0.4336734694,Fruit,Subtropical,Florida,"29.6516344,-82.32482619999996",Gainesville,
19,a,05/02/2017,2.9,7,10.6,16.5,21.9,23.9,22.4,3.7,0.7535714286,Strawberry,Desert,Southern California,,,
19,b,05/02/2017,3,7.2,11,16.6,22.2,23.9,21.5,3.575,0.6223214286,Strawberry,Desert,Southern California,,,
19,c,05/02/2017,2.9,7,11.4,16.9,22.2,24.3,21.6,3.625,0.63125,Strawberry,Desert,Southern California,,,
20,a,05/02/2017,1.3,3.5,3.7,6.8,8.3,12.5,9.5,1.685714286,0.4234693878,Fruit,Desert,Southern California,,,
20,b,05/02/2017,1.4,3.4,3.5,7,8.6,11.9,9.3,1.635714286,0.400255102,Fruit,Desert,Southern California,,,
20,c,05/02/2017,1.4,3.3,3.7,7.3,8.2,12.3,9.3,1.65,0.4017857143,Fruit,Desert,Southern California,,,
21,a,11/20/16,0.7,1.3,1.3,2.3,3.2,3.8,4.3,0.6321428571,0.1963010204,Plant,Tropical,Southeast Asia,"15.870032,100.99254100000007",Southeast Asia,
21,b,11/20/16,0.6,1.3,1.2,1.7,2.1,2.8,3.5,0.45,0.1125,Plant,Tropical,Southeast Asia,"15.870032,100.99254100000007",Southeast Asia,
21,a,11/20/16,0.6,1.2,1.6,2.3,2.9,3.5,4,0.575,0.1473214286,Plant,Tropical,Southeast Asia,"15.870032,100.99254100000007",Southeast Asia,
22,b,10/28/16,2.8,5.6,6.5,9.8,13,15.6,18.2,2.596428571,0.7210459184,Fruit,Tropical,Southeast Asia,"-7.614529200000001,110.71224649999999",Southeast Asia,
22,c,10/28/16,2.5,4.9,7.3,10.1,12.8,15.2,17.5,2.539285714,0.6577806122,Fruit,Tropical,Southeast Asia,"-7.614529200000001,110.71224649999999",Southeast Asia,
22,a,11/20/16,2.9,5.8,3.2,8,12.8,14.9,16.9,2.492857143,0.8706632653,Fruit,Tropical,Southeast Asia,"-7.614529200000001,110.71224649999999",Southeast Asia,
23,b,10/14/16,1.8,3.6,5.4,9,12.6,13.6,14.6,2.342857143,0.6867346939,Fruit,Tropical,Southeast Asia,"-30.559482,22.937505999999985",South Africa,
23,c,10/28/16,1.5,3,7.9,11,14.1,14.9,15.7,2.592857143,0.6528061224,Fruit,Tropical,Southeast Asia,"-30.559482,22.937505999999985",South Africa,
23,a,11/20/16,2.4,4.7,1.4,7,12.5,13.5,14.5,2.321428571,0.9130102041,Fruit,Tropical,Southeast Asia,"-30.559482,22.937505999999985",South Africa,
24,c,10/14/16,2.8,5.6,4.9,9.4,13.8,15.9,18,2.682142857,0.8552295918,Soil,Temperate,Europe,"51.919438,19.14513599999998",Europe,
24,c,10/28/16,1.7,3.4,9,11.9,14.8,16,17.2,2.767857143,0.6644132653,Soil,Temperate,Europe,"51.919438,19.14513599999998",Europe,
24,a,11/20/16,2.7,5.4,6.3,9.2,12.1,14.7,17.3,2.435714286,0.6645408163,Soil,Temperate,Europe,"51.919438,19.14513599999998",Europe,
25,c,10/14/16,2.2,4.4,3.3,6.2,9,11,12.9,1.821428571,0.5808673469,Unknown,Antartic,Antartica,"-75.250973,-0.07138899999995374",Antartica,
25,c,10/28/16,1.7,3.4,8.3,11.2,14,15.2,16.4,2.621428571,0.6380102041,Unknown,Antartic,Antartica,"-75.250973,-0.07138899999995374",Antartica,
25,a,11/20/16,2.1,4.1,3.3,4.7,6,8.4,10.7,1.325,0.3633928571,Unknown,Antartic,Antartica,"-75.250973,-0.07138899999995374",Antartica,
26,b,10/14/16,0.6,1.4,3.6,5.7,8.7,9.8,10.9,1.885714286,0.7198979592,Soil,Tropical,Southeast Asia,"13.9576861,124.32826030000001",Southeast Asia,
26,c,10/14/16,0.7,1.6,3.5,6.1,8.9,10.1,11.8,1.989285714,0.7774234694,Soil,Tropical,Southeast Asia,"13.9576861,124.32826030000001",Southeast Asia,
26,a,10/28/16,0.3,1.7,3.5,5.8,8.6,9.8,10.7,1.875,0.6758928571,Soil,Tropical,Southeast Asia,"13.9576861,124.32826030000001",Southeast Asia,
27,b,10/14/16,3.2,6.4,7.6,14,20.4,22.2,24,3.814285714,1.187244898,Soil,Desert,Middle East,"31.41871419999999,73.07910730000003",Middle East,
27,c,10/28/16,1.4,3.1,4.9,7.1,8.6,10.3,12.7,1.857142857,0.5382653061,Soil,Desert,Middle East,"31.41871419999999,73.07910730000003",Middle East,
27,a,11/20/16,1.6,3.2,5.1,7.6,8,10.1,12.2,1.732142857,0.4391581633,Soil,Desert,Middle East,"31.41871419999999,73.07910730000003",Middle East,
28,b,11/20/16,1.3,3.6,5.2,6,8.8,10.9,13,1.903571429,0.5503826531,Plant,Temperate,Quebec,"52.9399159,-73.5491361",Quebec,
28,c,11/20/16,2.9,5.7,3.5,5.6,7.7,10.6,14.1,1.7,0.5071428571,Plant,Temperate,Quebec,"52.9399159,-73.5491361",Quebec,
28,a,11/20/16,2.6,5.3,3.2,5.7,8.2,11.3,13.6,1.785714286,0.5663265306,Plant,Temperate,Quebec,"52.9399159,-73.5491361",Quebec,
29,b,10/14/16,2.9,5.8,7.6,13,18.3,20.2,22,3.457142857,1.034693878,Strawberry,Subtropical,Florida,"27.7611194,-82.2276653",Balm,
29,c,10/14/16,2.5,5,6.7,12,17.2,18.5,19.8,3.192857143,0.9742346939,Strawberry,Subtropical,Florida,"27.7611194,-82.2276653",Balm,
29,a,10/14/16,2,4.1,6.1,9.9,13.6,14.9,16.2,2.560714286,0.7350765306,Strawberry,Subtropical,Florida,"27.7611194,-82.2276653",Balm,
30,b,05/02/2017,1.5,3.2,5.1,6.8,13,17,27,4,2.014285714,Strawberry,Subtropical,Florida,,,
30,c,05/02/2017,1.5,3.4,5.2,7.1,13,17.6,26,3.917857143,1.91619898,Strawberry,Subtropical,Florida,,,
30,a,05/02/2017,1.6,3.3,5,6.8,12.4,17.5,24.9,3.775,1.854464286,Strawberry,Subtropical,Florida,,,
31,b,05/02/2017,1.6,2.9,3,4.2,8.1,11.9,14.8,2.239285714,1.047066327,Strawberry,Subtropical,Florida,,,
31,c,05/02/2017,1.5,3,2.9,4.1,8.2,12.4,14.4,2.242857143,1.036734694,Strawberry,Subtropical,Florida,,,
31,a,05/02/2017,1.5,3.1,3.1,4,8.4,12.6,13.9,2.196428571,0.9817602041,Strawberry,Subtropical,Florida,,,
32,b,05/02/2017,2,4.5,6.3,6,9.5,13,21.3,2.789285714,1.138137755,Strawberry,Subtropical,Florida,,,
32,c,05/02/2017,2.1,4.8,6.1,5.9,9.8,12.8,20.2,2.642857143,1.02244898,Strawberry,Subtropical,Florida,,,
32,a,05/02/2017,2,4.6,6.3,5.8,9.9,12.8,20.5,2.696428571,1.060331633,Strawberry,Subtropical,Florida,,,
33,b,05/02/2017,1.6,2.8,4.3,5.8,11.6,18.8,23.8,3.782142857,1.962372449,Strawberry,Subtropical,Florida,,,
33,c,05/02/2017,1.6,2.8,4.3,6,11.3,19,23.5,3.753571429,1.937882653,Strawberry,Subtropical,Florida,,,
33,a,05/02/2017,1.6,2.8,4.3,6,11.2,19.8,22.7,3.721428571,1.905867347,Strawberry,Subtropical,Florida,,,
34,b,10/14/16,2.7,5.4,5.6,9.7,13.8,15.9,18,2.682142857,0.8159438776,Strawberry,Subtropical,Florida,"27.7611194,-82.2276658",Balm,
34,c,10/14/16,1.6,3.2,7.3,9.8,12.2,13.4,14.6,2.296428571,0.5531887755,Strawberry,Subtropical,Florida,"27.7611194,-82.2276658",Balm,
34,a,10/14/16,1.5,3,8.1,12,15.9,16.4,16.9,2.885714286,0.7734693878,Strawberry,Subtropical,Florida,"27.7611194,-82.2276658",Balm,
35,b,05/02/2017,3.3,4.1,7.7,11.8,16.8,19.7,18.5,3.067857143,0.9429846939,Strawberry,Subtropical,Florida,,,
35,c,05/02/2017,3.3,4.2,7.9,12.3,17.1,18.9,18,2.953571429,0.8235969388,Strawberry,Subtropical,Florida,,,
35,a,05/02/2017,3.4,4.1,8,12.2,17,18.8,18.6,3,0.875,Strawberry,Subtropical,Florida,,,
36,b,1/31/17,2,3.9,6.7,9.4,12.6,16,16.1,2.585714286,0.7663265306,Strawberry,Subtropical,Florida,,,
36,c,1/31/17,1.4,2.8,6.3,9.7,14.2,19.5,16.5,3.092857143,1.10994898,Strawberry,Subtropical,Florida,,,
36,a,1/31/17,1.9,3.8,4.7,5.5,5.8,5.7,7.4,0.7642857143,-0.125255102,Strawberry,Subtropical,Florida,,,
39,b,05/02/2017,2.4,4.1,4.6,7.4,7.2,10.6,16.4,2.057142857,0.7382653061,Strawberry,Subtropical,Florida,,,
39,c,05/02/2017,2.5,4,4.4,7.1,7.5,11.1,16.5,2.117857143,0.8054846939,Strawberry,Subtropical,Florida,,,
39,a,05/02/2017,2.4,4,4.3,6.8,7.3,11,16.1,2.075,0.7866071429,Strawberry,Subtropical,Florida,,,
40,b,1/31/17,4,7.9,11.1,14.2,17,19.4,22.5,3.014285714,0.4765306122,Unknown,Unknown,Unknown,,,
40,c,1/31/17,2.7,5.4,9.1,12.8,17,21.6,22.1,3.517857143,1.04119898,Unknown,Unknown,Unknown,,,
40,a,1/31/17,2.6,5.1,9.6,14.1,19.6,25.8,21.2,3.828571429,1.110204082,Unknown,Unknown,Unknown,,,
41,b,1/31/17,3.4,6.8,11.2,15.6,20.5,25.8,22.2,3.703571429,0.8182397959,Unknown,Unknown,Unknown,,,
41,b,1/31/17,3.1,6.2,10,13.8,18,22.4,21.6,3.425,0.8383928571,Unknown,Unknown,Unknown,,,
41,a,1/31/17,3.2,6.4,9.3,12.2,15,17.6,21.8,2.996428571,0.7210459184,Unknown,Unknown,Unknown,,,
42,a,10/14/16,0.6,1.3,1.7,3.6,5.5,5.6,5.7,0.9892857143,0.3238520408,Strawberry,Desert,Southern California,"34.0555693,-117.18253809999999",IE,
42,b,10/14/16,0.7,1.4,1.5,2.2,2.9,3.6,4.3,0.5928571429,0.1635204082,Strawberry,Desert,Southern California,"34.0555693,-117.18253809999999",IE,
42,c,10/28/16,0.4,0.8,2.2,2.3,2.3,2.9,3.4,0.475,0.07232142857,Strawberry,Desert,Southern California,"34.0555693,-117.18253809999999",IE,
43,b,10/14/16,0.7,1.3,1.9,3,4,4.5,5,0.7642857143,0.2176020408,Strawberry,Temperate,Northern California,"37.35410789999999,-121.95523559999998",Monterrey,
43,c,10/28/16,0.3,0.6,5.6,5.9,6.1,6.5,6.8,1.135714286,0.1645408163,Strawberry,Temperate,Northern California,"37.35410789999999,-121.95523559999998",Monterrey,
43,a,11/20/16,0.6,1.2,1.3,1.7,2,2.7,3.4,0.4321428571,0.1034438776,Strawberry,Temperate,Northern California,"37.35410789999999,-121.95523559999998",Monterrey,
44,b,10/14/16,4.7,9.4,8.7,13.3,17.9,22.7,27.4,3.710714286,1.061862245,Strawberry,Temperate,Northern California,"36.838309,-121.7962",Monterrey,
44,c,10/14/16,2.4,4.8,9.7,14.6,19.5,20.9,22.2,3.621428571,0.9915816327,Strawberry,Temperate,Northern California,"36.838309,-121.7962",Monterrey,
44,a,10/14/16,2.3,4.5,8.7,13.2,17.7,19,20.3,3.285714286,0.9056122449,Strawberry,Temperate,Northern California,"36.838309,-121.7962",Monterrey,
45,b,10/14/16,0.5,1,2.7,3.5,4.3,4.7,5,0.8035714286,0.1860969388,Strawberry,Temperate,Northern California,"36.878370,-121.7931",Monterrey,
45,c,11/20/16,0.6,1.1,2.3,2.9,3.5,4.1,4.6,0.6857142857,0.162755102,Strawberry,Temperate,Northern California,"36.878370,-121.7931",Monterrey,
45,a,11/20/16,1.6,3.2,3.4,5,6.5,8.1,9.7,1.328571429,0.3602040816,Strawberry,Temperate,Northern California,"36.878370,-121.7931",Monterrey,
47,b,10/14/16,1.2,2.5,2.4,4.6,6.7,7.6,8.4,1.289285714,0.405994898,Strawberry,Temperate,Northern California,"36.727454,-121.6851",Monterrey,
47,c,1/31/17,2.7,5.4,9.1,12.7,16.8,21.3,22.3,3.510714286,1.047576531,Strawberry,Temperate,Northern California,,,
47,a,10/14/16,0.8,1.7,6.8,8.2,9.5,10.1,10.7,1.757142857,0.3525510204,Strawberry,Temperate,Northern California,"36.727454,-121.6851",Monterrey,
47,b,1/31/17,3.8,7.6,12.3,17,22.2,27.7,25.5,4.114285714,0.9515306122,Strawberry,Temperate,Northern California,,,
47,c,10/14/16,0.7,1.5,4.3,5.7,7.1,7.6,8,1.317857143,0.312627551,Strawberry,Temperate,Northern California,"36.727454,-121.6851",Monterrey,
47,a,1/31/17,2.9,5.8,10.3,14.7,19.9,25.8,24.8,4.117857143,1.251913265,Strawberry,Temperate,Northern California,,,
49,b,10/14/16,0.9,1.7,10.5,10.9,11.3,12.4,13.4,2.132142857,0.3070153061,Strawberry,Temperate,Northern California,"36.844183, -121.745018",Monterrey,
49,c,1/31/17,2,4,6.9,9.8,13.2,16.9,16.3,2.678571429,0.7834183673,Strawberry,Temperate,Northern California,,,
49,a,10/14/16,3,6.1,7.5,13.2,18.9,20.8,22.7,3.567857143,1.085841837,Strawberry,Temperate,Northern California,"36.844183, -121.745018",Monterrey,
49,b,1/31/17,3.4,6.8,10.8,14.8,19.1,23.6,25.5,3.864285714,1.049744898,Strawberry,Temperate,Northern California,,,
49,c,10/28/16,3.6,7.2,8.9,12.3,15.7,19.4,23,3.192857143,0.831377551,Strawberry,Temperate,Northern California,"36.844183, -121.745018",Monterrey,
49,a,1/31/17,3.8,7.6,9,10.4,10.6,9.8,14.4,1.35,-0.3053571429,Strawberry,Temperate,Northern California,,,
50,b,10/14/16,2.4,4.9,10,15,20,21.4,22.7,3.710714286,1.008290816,Strawberry,Temperate,Northern California,"36.681090,-121.561483",Monterrey,
50,c,10/14/16,0.7,1.5,5.7,6.5,7.3,8,8.7,1.378571429,0.2548469388,Strawberry,Temperate,Northern California,"36.681090,-121.561483",Monterrey,
50,a,10/14/16,2.6,5.2,7.9,12.3,16.7,18.6,20.4,3.178571429,0.9012755102,Strawberry,Temperate,Northern California,"36.681090,-121.561483",Monterrey,
51,b,1/31/17,3.2,6.3,8.9,11.4,13.7,15.7,21.7,2.825,0.6955357143,Strawberry,Temperate,Northern California,,,
51,c,1/31/17,3.2,6.3,9.6,12.8,16.1,19.4,21.1,3.085714286,0.712755102,Strawberry,Temperate,Northern California,,,
51,a,1/31/17,3.1,6.2,9.4,12.6,15.9,19.1,21.2,3.092857143,0.7420918367,Strawberry,Temperate,Northern California,,,
52,c,05/02/2017,2,5,7.2,5.3,5.6,10.2,13.1,1.503571429,0.2218112245,Strawberry,Temperate,Northern California,,,
52,a,05/02/2017,2,4.8,7.5,5,5.5,10,13.4,1.521428571,0.2487244898,Strawberry,Temperate,Northern California,,,
52,b,05/02/2017,2,4.7,7.4,5,5.4,9.6,13.6,1.521428571,0.2665816327,Strawberry,Temperate,Northern California,,,
53,c,05/02/2017,4,10.4,14.1,14.2,12.8,17.4,22.3,2.414285714,-0.1556122449,Strawberry,Temperate,Northern California,,,
53,a,05/02/2017,3.9,10.8,14.1,14.4,12.9,16.7,22,2.317857143,-0.262372449,Strawberry,Temperate,Northern California,,,
53,b,05/02/2017,4,10.4,13.5,14.6,12.6,16.3,22.6,2.382142857,-0.1483418367,Strawberry,Temperate,Northern California,,,
54,c,05/02/2017,2.5,8.3,11.6,12.7,12.2,14.3,24.2,2.775,0.3651785714,Strawberry,Temperate,Northern California,,,
54,a,05/02/2017,2.4,8.7,11.5,12.3,12.6,15,23.2,2.717857143,0.2911989796,Strawberry,Temperate,Northern California,,,
54,b,05/02/2017,2.4,9.1,11.7,11.7,12.8,14.7,24.3,2.785714286,0.3306122449,Strawberry,Temperate,Northern California,,,
55,c,05/02/2017,3.3,7.5,12.5,10.6,18.8,18,16,2.335714286,-0.03903061224,Strawberry,Temperate,Northern California,,,
55,a,05/02/2017,3.2,7.6,12.4,10.9,19.7,18.7,15.4,2.360714286,-0.06849489796,Strawberry,Temperate,Northern California,,,
55,b,05/02/2017,3.4,7.8,11.9,11.3,20.2,17.9,15.8,2.346428571,-0.0700255102,Strawberry,Temperate,Northern California,,,
56,c,05/02/2017,4.4,7.2,14.2,14.5,16.8,22.2,18,2.621428571,0.05586734694,Strawberry,Temperate,Northern California,,,
56,a,05/02/2017,4.2,7,14.5,15.2,16.8,21.8,18.3,2.65,0.04107142857,Strawberry,Temperate,Northern California,,,
56,b,05/02/2017,4.1,7.3,14.9,14.5,16.9,21.7,17.4,2.525,-0.07589285714,Strawberry,Temperate,Northern California,,,
57,c,05/02/2017,2.6,7,7.9,7.2,8.8,13.4,10,1.282142857,-0.2411989796,Strawberry,Temperate,Northern California,,,
57,a,05/02/2017,2.5,6.6,8,7.3,8.6,13.6,10.2,1.346428571,-0.1807397959,Strawberry,Temperate,Northern California,,,
57,b,05/02/2017,2.6,6.6,7.9,7.5,8.4,14.1,10.5,1.4,-0.1357142857,Strawberry,Temperate,Northern California,,,
58,c,1/31/17,3.1,6.2,10.2,14.2,18.7,23.5,21.4,3.5,0.8428571429,Strawberry,Temperate,Northern California,,,
58,a,1/31/17,2.7,5.4,9.7,13.9,18.9,24.6,21.8,3.746428571,1.069260204,Strawberry,Temperate,Northern California,,,
58,b,1/31/17,2.4,4.8,6.6,8.4,9.9,11.2,11.9,1.592857143,0.1349489796,Strawberry,Temperate,Northern California,,,
59,c,1/31/17,1.4,2.8,5.1,7.3,10,13,10.5,1.878571429,0.4905612245,Strawberry,Temperate,Northern California,,,
59,a,1/31/17,3.4,6.7,8.5,10.3,11.3,11.7,17.2,1.935714286,0.1609693878,Strawberry,Temperate,Northern California,,,
59,b,1/31/17,3,6,7.5,9,9.8,9.9,16.3,1.785714286,0.2091836735,Strawberry,Temperate,Northern California,,,
60,c,05/02/2017,4.8,9.5,8,15.8,15.9,17.5,22.7,2.771428571,0.3897959184,Strawberry,Temperate,Northern California,,,
60,a,05/02/2017,5,9.4,7.7,16.2,15.1,17.3,22.2,2.671428571,0.3540816327,Strawberry,Temperate,Northern California,,,
60,b,05/02/2017,4.9,9.4,7.6,15.9,15.4,17.2,23,2.775,0.4366071429,Strawberry,Temperate,Northern California,,,
61,a,05/02/2017,2.5,4.1,4.8,4.2,5.8,4.7,6.4,0.4964285714,-0.2539540816,Strawberry,Temperate,Northern California,,,
61,b,05/02/2017,2.5,4.1,4.6,4,5.5,4.6,6.4,0.4857142857,-0.237244898,Strawberry,Temperate,Northern California,,,
61,c,05/02/2017,2.5,3.9,4.8,4.1,5.7,4.7,6.2,0.4857142857,-0.2443877551,Strawberry,Temperate,Northern California,,,
62,a,05/02/2017,2.3,5.1,7.9,9.8,13.6,21.2,25.9,3.882142857,1.562372449,Strawberry,Temperate,Northern California,,,
62,b,05/02/2017,2.3,5.3,8.3,10,13.5,21.8,26.3,3.935714286,1.560969388,Strawberry,Temperate,Northern California,,,
62,c,05/02/2017,2.4,5.2,8.7,9.8,14,21.1,27,3.960714286,1.577933673,Strawberry,Temperate,Northern California,,,
63,a,10/14/16,1.7,3.3,10.5,15.1,19.7,20.1,20.5,3.542857143,0.918877551,Strawberry,Temperate,Northern California,"36.688662,-121.581620",Monterrey,
63,b,10/14/16,2.7,5.5,10,16,22,23.4,24.7,4.064285714,1.160459184,Strawberry,Temperate,Northern California,"36.688662,-121.581620",Monterrey,
63,c,10/14/16,3,6,7.5,11.8,16.1,18.6,21,3.135714286,0.900255102,Strawberry,Temperate,Northern California,"36.688662,-121.581620",Monterrey,
